Tipo,Cantidad,Fecha,Pais,Estado
Confirmed,444,1-22-2020,China,Hubei
Confirmed,1,1-22-2020,China,Ningxia
Confirmed,1,1-22-2020,China,Jiangsu
Confirmed,1,1-22-2020,China,Hebei
Confirmed,2,1-22-2020,China,Liaoning
Confirmed,0,1-22-2020,China,Heilongjiang
Confirmed,0,1-22-2020,China,Jilin
Confirmed,1,1-22-2020,China,Shanxi
Confirmed,1,1-22-2020,China,Yunnan
Confirmed,10,1-22-2020,China,Zhejiang
Confirmed,5,1-22-2020,China,Henan
Confirmed,4,1-22-2020,China,Hainan
Confirmed,0,1-22-2020,China,Xinjiang
Confirmed,4,1-22-2020,China,Hunan
Confirmed,1,1-22-2020,China,Fujian
Confirmed,0,1-22-2020,China,Hong Kong
Confirmed,9,1-22-2020,China,Shanghai
Confirmed,4,1-22-2020,China,Tianjin
Confirmed,14,1-22-2020,China,Beijing
Confirmed,2,1-22-2020,China,Jiangxi
Confirmed,0,1-22-2020,China,Inner Mongolia
Confirmed,2,1-22-2020,China,Guangxi
Confirmed,1,1-22-2020,China,Anhui
Confirmed,0,1-22-2020,China,Shaanxi
Confirmed,26,1-22-2020,China,Guangdong
Confirmed,1,1-22-2020,China,Macau
Confirmed,2,1-22-2020,China,Shandong
Confirmed,0,1-22-2020,China,Gansu
Confirmed,1,1-22-2020,China,Guizhou
Confirmed,0,1-22-2020,China,Qinghai
Confirmed,5,1-22-2020,China,Sichuan
Confirmed,0,1-22-2020,China,Tibet
Confirmed,6,1-22-2020,China,Chongqing
Confirmed,7,1-23-2020,China,Jiangxi
Confirmed,5,1-23-2020,China,Fujian
Confirmed,0,1-23-2020,China,Inner Mongolia
Confirmed,2,1-23-2020,China,Yunnan
Confirmed,2,1-23-2020,China,Hong Kong
Confirmed,2,1-23-2020,China,Macau
Confirmed,1,1-23-2020,China,Ningxia
Confirmed,2,1-23-2020,China,Xinjiang
Confirmed,5,1-23-2020,China,Hainan
Confirmed,9,1-23-2020,China,Anhui
Confirmed,0,1-23-2020,China,Tibet
Confirmed,27,1-23-2020,China,Zhejiang
Confirmed,6,1-23-2020,China,Shandong
Confirmed,1,1-23-2020,China,Shanxi
Confirmed,2,1-23-2020,China,Gansu
Confirmed,2,1-23-2020,China,Heilongjiang
Confirmed,32,1-23-2020,China,Guangdong
Confirmed,8,1-23-2020,China,Sichuan
Confirmed,3,1-23-2020,China,Shaanxi
Confirmed,3,1-23-2020,China,Liaoning
Confirmed,9,1-23-2020,China,Chongqing
Confirmed,5,1-23-2020,China,Henan
Confirmed,0,1-23-2020,China,Qinghai
Confirmed,1,1-23-2020,China,Jilin
Confirmed,5,1-23-2020,China,Guangxi
Confirmed,4,1-23-2020,China,Tianjin
Confirmed,9,1-23-2020,China,Hunan
Confirmed,22,1-23-2020,China,Beijing
Confirmed,16,1-23-2020,China,Shanghai
Confirmed,5,1-23-2020,China,Jiangsu
Confirmed,3,1-23-2020,China,Guizhou
Confirmed,1,1-23-2020,China,Hebei
Confirmed,444,1-23-2020,China,Hubei
Confirmed,43,1-24-2020,China,Zhejiang
Confirmed,8,1-24-2020,China,Hainan
Confirmed,1,1-24-2020,China,Shanxi
Confirmed,3,1-24-2020,China,Jilin
Confirmed,0,1-24-2020,China,Tibet
Confirmed,4,1-24-2020,China,Liaoning
Confirmed,2,1-24-2020,China,Gansu
Confirmed,2,1-24-2020,China,Macau
Confirmed,2,1-24-2020,China,Hong Kong
Confirmed,36,1-24-2020,China,Beijing
