date;quantity;fk_place;fk_type;flag
2019/12/31 00:00:00.000;0;4000;2;new
2020/01/01 00:00:00.000;0;4000;2;new
2020/01/02 00:00:00.000;0;4000;2;new
2020/01/03 00:00:00.000;0;4000;2;new
2020/01/04 00:00:00.000;0;4000;2;new
2020/01/05 00:00:00.000;0;4000;2;new
2020/01/06 00:00:00.000;0;4000;2;new
2020/01/07 00:00:00.000;0;4000;2;new
2020/01/08 00:00:00.000;0;4000;2;new
2020/01/09 00:00:00.000;0;4000;2;new
2020/01/10 00:00:00.000;0;4000;2;new
2020/01/11 00:00:00.000;0;4000;2;new
2020/01/12 00:00:00.000;0;4000;2;new
2020/01/13 00:00:00.000;0;4000;2;new
2020/01/14 00:00:00.000;0;4000;2;new
2020/01/15 00:00:00.000;0;4000;2;new
2020/01/16 00:00:00.000;0;4000;2;new
2020/01/17 00:00:00.000;0;4000;2;new
2020/01/18 00:00:00.000;0;4000;2;new
2020/01/19 00:00:00.000;0;4000;2;new
2020/01/20 00:00:00.000;0;4000;2;new
2020/01/21 00:00:00.000;0;4000;2;new
2020/01/22 00:00:00.000;0;4000;2;new
2020/01/23 00:00:00.000;0;4000;2;new
2020/01/24 00:00:00.000;0;4000;2;new
2020/01/25 00:00:00.000;0;4000;2;new
2020/01/26 00:00:00.000;0;4000;2;new
2020/01/27 00:00:00.000;0;4000;2;new
2020/01/28 00:00:00.000;0;4000;2;new
2020/01/29 00:00:00.000;0;4000;2;new
2020/01/30 00:00:00.000;0;4000;2;new
2020/01/31 00:00:00.000;0;4000;2;new
2020/02/01 00:00:00.000;0;4000;2;new
2020/02/02 00:00:00.000;0;4000;2;new
2020/02/03 00:00:00.000;0;4000;2;new
2020/02/04 00:00:00.000;0;4000;2;new
2020/02/05 00:00:00.000;0;4000;2;new
2020/02/06 00:00:00.000;0;4000;2;new
2020/02/07 00:00:00.000;0;4000;2;new
2020/02/08 00:00:00.000;0;4000;2;new
2020/02/09 00:00:00.000;0;4000;2;new
2020/02/10 00:00:00.000;0;4000;2;new
2020/02/11 00:00:00.000;0;4000;2;new
2020/02/12 00:00:00.000;0;4000;2;new
2020/02/13 00:00:00.000;0;4000;2;new
2020/02/14 00:00:00.000;0;4000;2;new
2020/02/15 00:00:00.000;0;4000;2;new
2020/02/16 00:00:00.000;0;4000;2;new
2020/02/17 00:00:00.000;0;4000;2;new
2020/02/18 00:00:00.000;0;4000;2;new
2020/02/19 00:00:00.000;0;4000;2;new
2020/02/20 00:00:00.000;0;4000;2;new
2020/02/21 00:00:00.000;0;4000;2;new
2020/02/22 00:00:00.000;0;4000;2;new
2020/02/23 00:00:00.000;0;4000;2;new
2020/02/24 00:00:00.000;0;4000;2;new
2020/02/25 00:00:00.000;0;4000;2;new
2020/02/26 00:00:00.000;0;4000;2;new
2020/02/27 00:00:00.000;0;4000;2;new
2020/02/28 00:00:00.000;0;4000;2;new
2020/02/29 00:00:00.000;0;4000;2;new
2020/03/01 00:00:00.000;0;4000;2;new
2020/03/02 00:00:00.000;0;4000;2;new
2020/03/03 00:00:00.000;0;4000;2;new
2020/03/04 00:00:00.000;0;4000;2;new
2020/03/05 00:00:00.000;0;4000;2;new
2020/03/06 00:00:00.000;0;4000;2;new
2020/03/07 00:00:00.000;1;4000;2;new
2020/03/08 00:00:00.000;2;4000;2;new
2020/03/09 00:00:00.000;2;4000;2;new
2020/03/10 00:00:00.000;3;4000;2;new
2020/03/11 00:00:00.000;7;4000;2;new
2020/03/12 00:00:00.000;7;4000;2;new
2020/03/13 00:00:00.000;9;4000;2;new
2020/03/14 00:00:00.000;10;4000;2;new
2020/03/15 00:00:00.000;28;4000;2;new
2020/03/16 00:00:00.000;43;4000;2;new
2020/03/17 00:00:00.000;65;4000;2;new
2020/03/18 00:00:00.000;81;4000;2;new
2020/03/19 00:00:00.000;115;4000;2;new
2020/03/20 00:00:00.000;158;4000;2;new
2020/03/21 00:00:00.000;194;4000;2;new
2020/03/22 00:00:00.000;250;4000;2;new
2020/03/23 00:00:00.000;285;4000;2;new
2020/03/24 00:00:00.000;359;4000;2;new
2020/03/25 00:00:00.000;508;4000;2;new
2020/03/26 00:00:00.000;694;4000;2;new
2020/03/27 00:00:00.000;877;4000;2;new
2020/03/28 00:00:00.000;1161;4000;2;new
2020/03/29 00:00:00.000;1455;4000;2;new
2020/03/30 00:00:00.000;1669;4000;2;new
2020/03/31 00:00:00.000;2043;4000;2;new
2020/04/01 00:00:00.000;2425;4000;2;new
2020/04/02 00:00:00.000;3095;4000;2;new
2020/04/03 00:00:00.000;3747;4000;2;new
2020/04/04 00:00:00.000;4461;4000;2;new
2020/04/05 00:00:00.000;5221;4000;2;new
2020/04/06 00:00:00.000;5865;4000;2;new
2020/04/07 00:00:00.000;6433;4000;2;new
2020/04/08 00:00:00.000;7471;4000;2;new
2020/04/09 00:00:00.000;8505;4000;2;new
2020/04/10 00:00:00.000;9608;4000;2;new
2020/04/11 00:00:00.000;10760;4000;2;new
2020/04/12 00:00:00.000;11599;4000;2;new
2020/04/13 00:00:00.000;12285;4000;2;new
2020/04/14 00:00:00.000;13029;4000;2;new
2020/04/15 00:00:00.000;14073;4000;2;new
2020/04/16 00:00:00.000;14915;4000;2;new
2020/04/17 00:00:00.000;15944;4000;2;new
2020/04/18 00:00:00.000;16879;4000;2;new
2020/04/19 00:00:00.000;17994;4000;2;new
2020/04/20 00:00:00.000;18492;4000;2;new
2020/04/21 00:00:00.000;19051;4000;2;new
2020/04/22 00:00:00.000;20223;4000;2;new
2020/04/23 00:00:00.000;21060;4000;2;new
2020/04/24 00:00:00.000;21787;4000;2;new
2020/04/25 00:00:00.000;22792;4000;2;new
2020/04/26 00:00:00.000;23635;4000;2;new
2020/04/27 00:00:00.000;24055;4000;2;new
2020/04/28 00:00:00.000;24393;4000;2;new
2020/04/29 00:00:00.000;25302;4000;2;new
2020/04/30 00:00:00.000;26097;4000;2;new
2020/05/01 00:00:00.000;26771;4000;2;new
2020/05/02 00:00:00.000;27510;4000;2;new
2020/05/03 00:00:00.000;28131;4000;2;new
2020/05/04 00:00:00.000;28446;4000;2;new
2020/05/05 00:00:00.000;28734;4000;2;new
2020/05/06 00:00:00.000;46;8011;2;deleted
2020/05/06 00:00:00.000;29427;4000;2;new
2020/05/07 00:00:00.000;425;8011;1;deleted
2020/05/07 00:00:00.000;50;8011;2;deleted
2020/05/07 00:00:00.000;30076;4000;2;new
2020/05/08 00:00:00.000;464;8011;1;deleted
2020/05/08 00:00:00.000;56;8011;2;deleted
2020/05/08 00:00:00.000;30615;4000;2;new
2020/05/09 00:00:00.000;488;8011;1;deleted
2020/05/09 00:00:00.000;60;8011;2;deleted
2020/05/09 00:00:00.000;31241;4000;2;new
2020/05/10 00:00:00.000;509;8011;1;deleted
2020/05/10 00:00:00.000;61;8011;2;deleted
2020/05/10 00:00:00.000;31587;4000;2;new
2020/05/11 00:00:00.000;555;8011;1;deleted
2020/05/11 00:00:00.000;64;8011;2;deleted
2020/05/11 00:00:00.000;31855;4000;2;new
2020/05/12 00:00:00.000;609;8011;1;deleted
2020/05/12 00:00:00.000;65;8011;2;deleted
2020/05/12 00:00:00.000;32065;4000;2;new
2020/05/13 00:00:00.000;650;8011;1;deleted
2020/05/13 00:00:00.000;69;8011;2;deleted
2020/05/13 00:00:00.000;32692;4000;2;new
2020/05/14 00:00:00.000;698;8011;1;deleted
2020/05/14 00:00:00.000;71;8011;2;deleted
2020/05/14 00:00:00.000;33186;4000;2;new
2020/05/15 00:00:00.000;745;8011;1;deleted
2020/05/15 00:00:00.000;75;8011;2;deleted
2020/05/15 00:00:00.000;33614;4000;2;new
2020/05/16 00:00:00.000;778;8011;1;deleted
2020/05/16 00:00:00.000;78;8011;2;deleted
2020/05/16 00:00:00.000;33998;4000;2;new
2020/05/17 00:00:00.000;799;8011;1;deleted
2020/05/17 00:00:00.000;79;8011;2;deleted
2020/05/17 00:00:00.000;34466;4000;2;new
2020/05/18 00:00:00.000;865;8011;1;deleted
2020/05/18 00:00:00.000;84;8011;2;deleted
2020/05/18 00:00:00.000;34636;4000;2;new
2020/05/19 00:00:00.000;944;8011;1;deleted
2020/05/19 00:00:00.000;87;8011;2;deleted
2020/05/19 00:00:00.000;34796;4000;2;new
2020/05/20 00:00:00.000;1013;8011;1;deleted
2020/05/20 00:00:00.000;88;8011;2;deleted
2020/05/20 00:00:00.000;35341;4000;2;new
2020/05/21 00:00:00.000;1077;8011;1;deleted
2020/05/21 00:00:00.000;90;8011;2;deleted
2020/05/21 00:00:00.000;35704;4000;2;new
2020/05/22 00:00:00.000;1156;8011;1;deleted
2020/05/22 00:00:00.000;95;8011;2;deleted
2020/05/22 00:00:00.000;36042;4000;2;new
2020/05/23 00:00:00.000;1211;8011;1;deleted
2020/05/23 00:00:00.000;98;8011;2;deleted
2020/05/23 00:00:00.000;36393;4000;2;new
2020/05/24 00:00:00.000;1234;8011;1;deleted
2020/05/24 00:00:00.000;100;8011;2;deleted
2020/05/24 00:00:00.000;36675;4000;2;new
2020/05/25 00:00:00.000;1349;8011;1;deleted
2020/05/25 00:00:00.000;106;8011;2;deleted
2020/05/25 00:00:00.000;36793;4000;2;new
2020/05/26 00:00:00.000;1453;8011;1;deleted
2020/05/26 00:00:00.000;109;8011;2;deleted
2020/05/26 00:00:00.000;36914;4000;2;new
2020/05/27 00:00:00.000;1562;8011;1;deleted
2020/05/27 00:00:00.000;112;8011;2;deleted
2020/05/27 00:00:00.000;37048;4000;2;new
2020/05/28 00:00:00.000;1711;8011;1;deleted
2020/05/28 00:00:00.000;116;8011;2;deleted
2020/05/28 00:00:00.000;37460;4000;2;new
2020/05/29 00:00:00.000;1848;8011;1;deleted
2020/05/29 00:00:00.000;37837;4000;2;new
2020/05/30 00:00:00.000;1937;8011;1;deleted
2020/05/30 00:00:00.000;118;8011;2;deleted
2020/05/30 00:00:00.000;38161;4000;2;new
2020/05/31 00:00:00.000;2007;8011;1;deleted
2020/05/31 00:00:00.000;123;8011;2;deleted
2020/05/31 00:00:00.000;38376;4000;2;new
2020/06/01 00:00:00.000;2187;8011;1;deleted
2020/06/01 00:00:00.000;125;8011;2;deleted
2020/06/01 00:00:00.000;38489;4000;2;new
2020/06/02 00:00:00.000;2360;8011;1;deleted
2020/06/02 00:00:00.000;130;8011;2;deleted
2020/06/02 00:00:00.000;39045;4000;2;new
2020/06/03 00:00:00.000;2547;8011;1;deleted
2020/06/03 00:00:00.000;134;8011;2;deleted
2020/06/03 00:00:00.000;39369;4000;2;new
2020/06/04 00:00:00.000;2766;8011;1;deleted
2020/06/04 00:00:00.000;139;8011;2;deleted
