id;date;quantity;fk_place;fk_type
40489;2020/06/12 00:00:00.000;12003;1000;1
40490;2020/06/11 00:00:00.000;11947;1000;1
40491;2020/06/10 00:00:00.000;11902;1000;1
40492;2020/06/09 00:00:00.000;11852;1000;1
40493;2020/06/08 00:00:00.000;11814;1000;1
40494;2020/06/07 00:00:00.000;11776;1000;1
40495;2020/06/06 00:00:00.000;11719;1000;1
40496;2020/06/05 00:00:00.000;11668;1000;1
40497;2020/06/04 00:00:00.000;11629;1000;1
40498;2020/06/03 00:00:00.000;11590;1000;1
40499;2020/06/02 00:00:00.000;11541;1000;1
40500;2020/06/01 00:00:00.000;11503;1000;1
40501;2020/05/31 00:00:00.000;11468;1000;1
40502;2020/05/30 00:00:00.000;11441;1000;1
40503;2020/05/29 00:00:00.000;11402;1000;1
40504;2020/05/28 00:00:00.000;11344;1000;1
40505;2020/05/27 00:00:00.000;11265;1000;1
40506;2020/05/26 00:00:00.000;11225;1000;1
40507;2020/05/25 00:00:00.000;11206;1000;1
40508;2020/05/24 00:00:00.000;11190;1000;1
40509;2020/05/23 00:00:00.000;11165;1000;1
40510;2020/05/22 00:00:00.000;11142;1000;1
40511;2020/05/21 00:00:00.000;11122;1000;1
40512;2020/05/20 00:00:00.000;11110;1000;1
40513;2020/05/19 00:00:00.000;11078;1000;1
40514;2020/05/18 00:00:00.000;11065;1000;1
40515;2020/05/17 00:00:00.000;11050;1000;1
40516;2020/05/16 00:00:00.000;11037;1000;1
40517;2020/05/15 00:00:00.000;11018;1000;1
40518;2020/05/14 00:00:00.000;10991;1000;1
40519;2020/05/13 00:00:00.000;10962;1000;1
40520;2020/05/12 00:00:00.000;10936;1000;1
40521;2020/05/11 00:00:00.000;10909;1000;1
40522;2020/05/10 00:00:00.000;10874;1000;1
40523;2020/05/09 00:00:00.000;10840;1000;1
40524;2020/05/08 00:00:00.000;10822;1000;1
40525;2020/05/07 00:00:00.000;10810;1000;1
40526;2020/05/06 00:00:00.000;10806;1000;1
40527;2020/05/05 00:00:00.000;10804;1000;1
40528;2020/05/04 00:00:00.000;10801;1000;1
40529;2020/05/03 00:00:00.000;10793;1000;1
40530;2020/05/02 00:00:00.000;10780;1000;1
40531;2020/05/01 00:00:00.000;10774;1000;1
40532;2020/04/30 00:00:00.000;10765;1000;1
40533;2020/04/29 00:00:00.000;10761;1000;1
